name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Austin Springer,12-4-0,,"5'8""",145lbs.,"71""",Orthodox,"May12,1987",3.54,57%,3.15,41%,3.37,40%,100%,0.8,2025-07-24 10:17:07.375392
Georges St-Pierre,26-2-0,Rush,"5'11""",185lbs.,"76""",Orthodox,"May19,1981",3.78,53%,1.40,72%,4.16,74%,83%,1.1,2025-07-24 10:17:07.375392
Bobby Stack,8-3-0,,"5'9""",155lbs.,--,Orthodox,--,1.00,20%,2.89,34%,7.48,45%,100%,0.0,2025-07-24 10:17:07.375392
Andreas Stahl,10-4-0,Real Steel,"5'11""",170lbs.,--,Orthodox,"May20,1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0,2025-07-24 10:17:07.375392
Ron Stallings,14-8-0 (1 NC),The Choir Boy,"6'2""",170lbs.,"75""",Southpaw,"Jan25,1983",3.22,60%,3.26,51%,0.00,0%,71%,0.0,2025-07-24 10:17:07.375392
Cody Stamann,21-8-1,The Spartan,"5'6""",135lbs.,"64""",Orthodox,"Nov09,1989",4.32,46%,3.91,60%,2.17,37%,76%,0.0,2025-07-24 10:17:07.375392
Cristina Stanciu,5-2-0,Barbie,"5'3""",115lbs.,--,Orthodox,"Mar29,1994",2.50,50%,3.07,52%,0.85,100%,40%,1.7,2025-07-24 10:17:07.375392
Brian Stann,12-6-0,All American,"6'1""",205lbs.,"74""",Orthodox,"Sep24,1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3,2025-07-24 10:17:07.375392
Josh Stansbury,4-8-0,The Sandman,"6'2""",205lbs.,"74""",Orthodox,"Nov19,1984",3.22,54%,3.54,54%,0.00,0%,87%,1.0,2025-07-24 10:17:07.375392
Dion Staring,35-14-0,Soldier,"6'1""",235lbs.,--,Orthodox,"Jun09,1978",1.09,37%,5.00,47%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Lucas Stark,1-5-0,,--,155lbs.,--,,--,1.60,25%,3.20,66%,12.00,100%,0%,0.0,2025-07-24 10:17:07.375392
Clifford Starks,13-3-0,,"6'0""",185lbs.,"78""",Orthodox,"Apr25,1981",1.94,33%,2.49,58%,1.94,100%,60%,0.0,2025-07-24 10:17:07.375392
Kalib Starnes,17-11-1,,"6'3""",185lbs.,"74""",Orthodox,"Jan06,1975",2.71,48%,4.43,53%,1.46,33%,25%,0.6,2025-07-24 10:17:07.375392
Laureano Staropoli,9-5-0,Pepi,"6'1""",185lbs.,"71""",Orthodox,"Feb27,1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0,2025-07-24 10:17:07.375392
Damian Stasiak,10-6-0,Webster,"5'5""",135lbs.,"70""",Orthodox,"Feb20,1990",1.86,36%,3.10,52%,2.64,35%,43%,0.6,2025-07-24 10:17:07.375392
Adam Steele,0-1-0,,--,170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dominique Steele,14-9-0,Non-Stop Action-Packed,"5'10""",170lbs.,"74""",Orthodox,"Jan27,1988",2.32,49%,2.42,50%,2.95,42%,76%,0.0,2025-07-24 10:17:07.375392
Ricky Steele,6-0-0,The Karate Kid,"5'9""",135lbs.,"74""",Orthodox,"May26,1988",4.07,70%,2.93,50%,0.00,0%,91%,0.0,2025-07-24 10:17:07.375392
Kody Steele,7-1-0,,"5'9""",155lbs.,"71""",Orthodox,"Apr21,1995",4.44,32%,7.17,52%,0.62,14%,100%,0.0,2025-07-24 10:17:07.375392
Eric Steenberg,5-1-0,,--,155lbs.,--,,"Jun22,1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Steve Steinbeiss,9-4-0,The Hooligan,"6'3""",185lbs.,"75""",Orthodox,"May05,1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0,2025-07-24 10:17:07.375392
Ray Steinbeiss,14-7-0,Ipswitch Cobra,"5'11""",170lbs.,--,Orthodox,"Sep12,1979",0.00,0%,0.00,100%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dmitri Stepanov,0-1-0,,"6'3""",217lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jeremy Stephens,28-20-0 (1 NC),Lil' Heathen,"5'9""",155lbs.,"71""",Orthodox,"May25,1986",3.15,40%,3.14,58%,1.11,38%,62%,0.4,2025-07-24 10:17:07.375392
